"";"ID";"value_mortgage";"value_nonmortgage"
"401";"100-41-2606";0;1632
"402";"969-13-1937";0;27911
"403";"447-35-4595";322687;7864
"404";"405-16-6051";450727;2740
"405";"486-96-9137";0;20148
"406";"394-15-9886";0;2639
"407";"255-38-5421";0;16119
"408";"774-68-9270";0;3790
"409";"331-38-2848";0;15706
"410";"823-46-5692";184245;4157
"411";"463-61-1167";0;12330
"412";"974-61-4502";0;12600
"413";"834-23-6726";0;4796
"414";"776-71-9058";214021;5281
"415";"850-21-9538";285695;6836
"416";"410-75-3890";0;3508
"417";"314-41-9106";0;18909
"418";"826-25-3781";344600;2009
"419";"572-34-7385";0;11380
"420";"241-11-1102";299891;9121
"421";"864-13-3474";0;6607
"422";"209-16-6952";0;3249
"423";"884-30-5994";0;11393
"424";"655-71-7415";0;7826
"425";"784-84-3788";0;7054
"426";"565-90-6444";476232;14473
"427";"944-33-6077";0;17012
"428";"323-49-2525";0;3164
"429";"551-15-7563";555993;3399
"430";"308-52-1364";0;9498
"431";"919-12-1488";0;4297
"432";"961-62-5089";371028;2844
"433";"121-35-9364";325123;1901
"434";"688-38-8901";0;7679
"435";"786-11-8321";1139288;11868
"436";"784-97-7950";0;8682
"437";"295-81-2551";246853;4155
"438";"696-31-6540";0;5131
"439";"556-13-8267";0;12520
"440";"188-64-6485";681653;1737
"441";"242-71-8150";308171;7134
"442";"278-37-4170";400144;13182
"443";"940-60-2901";0;6054
"444";"132-15-4828";0;607
"445";"472-75-5264";0;10181
"446";"907-32-3015";0;19931
"447";"348-10-6965";194199;21470
"448";"717-38-1820";0;30556
"449";"184-82-4490";0;26389
"450";"452-74-6367";0;7273
"451";"802-16-7034";442592;12126
"452";"953-30-3099";354767;10442
"453";"474-24-6615";0;9556
"454";"413-33-9750";0;10304
"455";"694-91-2494";621651;14439
"456";"488-58-1086";0;10111
"457";"973-34-4231";0;14421
"458";"314-65-4836";392767;8396
"459";"627-94-9774";0;3419
"460";"507-30-8882";215737;39335
"461";"611-70-4858";597792;17266
"462";"417-61-8653";0;23218
"463";"602-79-9844";1000250;16793
"464";"154-60-3910";0;8893
"465";"295-82-3775";0;7760
"466";"841-88-5589";0;8817
"467";"150-88-4453";633729;2796
"468";"309-90-1720";0;11103
"469";"612-54-6417";0;11904
"470";"784-19-6360";0;20499
"471";"373-15-1199";0;9466
"472";"179-79-7042";694189;18163
"473";"631-92-4394";125929;12468
"474";"759-52-5732";0;7877
"475";"733-65-8182";1087941;3521
"476";"845-92-5285";531833;1047
"477";"864-61-3259";0;5619
"478";"221-13-5545";0;17407
"479";"936-65-2716";0;11042
"480";"998-79-4218";0;2610
"481";"489-90-1072";513692;13335
"482";"597-34-2197";0;10561
"483";"556-17-6016";0;20455
"484";"731-34-2973";362944;5739
"485";"360-97-8774";0;25868
"486";"242-79-7500";182195;4835
"487";"229-65-4178";335370;13299
"488";"125-60-4463";0;12803
"489";"643-53-2235";878334;4537
"490";"400-57-4830";0;3444
"491";"332-79-2362";272937;668
"492";"449-83-7560";446263;13819
"493";"876-62-2715";0;9869
"494";"145-58-8257";0;8729
"495";"229-91-6029";0;17828
"496";"755-82-2554";0;15526
"497";"481-61-3288";0;6445
"498";"320-22-9799";0;2279
"499";"176-17-7987";0;8299
"500";"374-98-3456";265570;10533
"501";"149-69-7644";0;12339
"502";"890-34-8825";0;12761
"503";"644-91-1379";325262;14242
"504";"890-62-2745";0;5153
"505";"323-13-3597";0;1386
"506";"997-60-4640";0;3668
"507";"890-51-9787";414495;9292
"508";"827-12-8284";0;21031
"509";"343-15-2659";0;4824
"510";"193-25-8560";0;5941
"511";"105-76-6212";0;8656
"512";"915-36-5063";0;13129
"513";"550-93-6075";256510;19726
"514";"385-55-5704";300946;5797
"515";"636-38-4796";0;17992
"516";"992-11-2304";335914;6131
"517";"454-16-2188";0;11234
"518";"224-88-3635";343223;9198
"519";"487-55-4472";0;2098
"520";"437-15-1130";202243;2115
"521";"345-25-2774";178013;6792
"522";"668-19-6884";0;9795
"523";"926-67-2278";0;15679
"524";"159-54-1347";562263;9950
"525";"332-29-5249";0;4413
"526";"609-27-4729";0;8386
"527";"366-45-4193";0;15820
"528";"328-58-2343";377831;14549
"529";"628-91-6927";0;4406
"530";"163-99-4538";343148;1441
"531";"182-59-2564";0;15751
"532";"790-19-1022";0;13599
"533";"426-50-3119";0;1714
"534";"576-20-3427";301064;1405
"535";"945-44-7348";0;4511
"536";"876-49-1068";0;15066
"537";"461-98-4376";0;18948
"538";"639-37-3524";0;7131
"539";"487-39-1281";0;4417
"540";"944-83-5255";0;15854
"541";"409-39-3760";0;25123
"542";"920-47-3745";0;1157
"543";"283-74-8356";781895;1896
"544";"649-54-7439";0;9124
"545";"894-87-3851";0;11132
"546";"338-62-7952";226638;22395
"547";"462-32-9629";0;7777
"548";"891-67-1839";299324;2099
"549";"421-97-2156";0;3040
"550";"282-82-2120";0;32066
"551";"904-18-4731";0;11029
"552";"365-11-7101";0;18687
"553";"873-85-1473";0;19096
"554";"627-83-2688";145177;5692
"555";"106-28-4454";0;3510
"556";"173-14-5244";0;5026
"557";"496-60-1076";0;19088
"558";"995-59-2896";0;8449
"559";"635-13-8971";0;6293
"560";"990-53-3650";0;7809
"561";"674-58-5864";0;6421
"562";"313-81-9914";0;14338
"563";"413-70-1839";0;864
"564";"514-90-7380";0;7107
"565";"311-26-4322";0;841
"566";"254-41-9194";0;14109
"567";"233-51-3156";473386;7073
"568";"747-94-4179";0;18591
"569";"245-72-7809";0;813
"570";"793-74-6466";0;14133
"571";"573-29-5032";0;10332
"572";"626-63-1888";0;18663
"573";"146-35-2351";0;10687
"574";"832-30-5989";299134;12780
"575";"233-69-2024";395499;12504
"576";"299-97-9847";257139;9081
"577";"230-46-9918";616090;8383
"578";"193-87-2150";0;11454
"579";"555-46-4163";0;825
"580";"453-20-3191";0;13941
"581";"610-72-4751";267935;18945
"582";"132-32-7371";1525347;1803
"583";"958-56-9114";293411;5214
"584";"204-32-7730";238246;9018
"585";"338-37-8675";0;2981
"586";"693-25-2073";0;3633
"587";"146-96-3846";0;6413
"588";"509-69-9780";398369;2880
"589";"362-59-5863";0;9155
"590";"823-52-8484";261168;1911
"591";"225-13-6242";0;9747
"592";"456-46-1155";0;10876
"593";"741-44-3800";0;8808
"594";"366-72-8054";0;11680
"595";"745-56-1813";0;18168
"596";"528-13-7444";0;2681
"597";"152-93-5272";0;21602
"598";"480-62-1111";0;33524
"599";"483-85-8817";0;11549
"600";"272-87-1252";0;16854
"601";"795-14-8225";186917;5140
"602";"983-34-3293";0;7242
"603";"403-16-7181";509342;2797
"604";"646-29-1277";0;9798
"605";"358-61-5103";510470;13176
"606";"836-53-6611";0;3214
"607";"363-62-2841";436065;6678
"608";"634-64-5837";0;1282
"609";"321-58-7588";568514;11565
"610";"638-49-4404";0;5918
"611";"828-35-4459";0;3858
"612";"775-81-8623";0;7842
"613";"535-36-8348";0;7588
"614";"792-44-1205";0;21506
"615";"653-14-4899";0;10612
"616";"447-84-1272";0;9153
"617";"580-12-7577";0;13882
"618";"476-23-9824";0;8168
"619";"271-60-9910";0;6623
"620";"463-16-3640";0;2838
"621";"906-56-2925";687132;2157
"622";"764-76-5253";398695;8151
"623";"530-11-4470";0;3521
"624";"828-62-6365";507781;12328
"625";"737-46-4859";0;16457
"626";"671-31-2418";0;8146
"627";"101-26-9697";0;4752
"628";"223-94-2867";325062;12537
"629";"492-38-7905";503732;12957
"630";"982-93-5395";0;5111
"631";"278-18-4433";0;6608
"632";"745-33-4386";745254;19128
"633";"545-73-4067";0;6130
"634";"691-22-1459";391143;12101
"635";"351-45-2171";210676;18286
"636";"924-74-4964";604918;18055
"637";"523-69-6098";0;39908
"638";"480-70-8294";0;22441
"639";"782-42-5285";784937;22264
"640";"759-76-9501";0;14102
"641";"888-19-8057";0;12192
"642";"967-73-4331";0;4328
"643";"205-73-6157";0;8104
"644";"124-10-2105";0;3244
"645";"602-84-9328";0;12659
"646";"747-45-1174";0;7792
"647";"422-58-1725";0;7125
"648";"284-27-2776";0;10043
"649";"884-99-6150";0;11400
"650";"541-56-9379";630635;1287
"651";"426-76-6231";1316692;6340
"652";"918-58-9988";0;9746
"653";"574-69-2666";0;10146
"654";"163-53-4102";423364;4937
"655";"948-72-5336";352319;6004
"656";"458-31-7076";408770;13150
"657";"858-59-4208";0;7123
"658";"371-96-5232";0;1128
"659";"689-63-1290";1088105;13731
"660";"821-35-8109";0;8860
"661";"143-49-8612";830069;3884
"662";"942-24-3617";629837;1408
"663";"181-23-6639";0;6361
"664";"679-59-8863";0;17753
"665";"779-73-8525";0;10947
"666";"428-79-1884";0;1563
"667";"538-35-6590";0;976
"668";"372-73-3911";0;7133
"669";"553-63-6337";0;14975
"670";"561-42-2210";794889;17301
"671";"850-63-6623";357653;6583
"672";"206-12-8338";0;3579
"673";"625-17-1612";0;15485
"674";"743-41-3646";580818;13809
"675";"381-64-1741";594824;6926
"676";"734-66-7355";410480;6203
"677";"595-83-7034";111453;3988
"678";"961-77-1577";0;8897
"679";"998-34-4689";516975;6408
"680";"454-39-6080";0;19952
"681";"236-95-5151";0;8137
"682";"422-82-9057";0;4973
"683";"176-20-3175";0;3164
"684";"973-23-8038";330688;7979
"685";"976-50-1315";0;5243
"686";"801-95-9110";547612;24855
"687";"498-54-3888";0;4692
"688";"875-68-9679";0;11442
"689";"507-84-9813";0;5434
"690";"805-95-8921";0;10618
"691";"884-47-3900";0;5262
"692";"597-41-2521";0;795
"693";"631-71-7982";0;11377
"694";"334-65-6866";0;8153
"695";"819-28-7763";0;8353
"696";"977-57-9380";0;7173
"697";"944-45-8453";586697;4402
"698";"367-74-9218";0;2569
"699";"885-25-7945";0;9338
"700";"902-60-3683";0;11643
"701";"251-20-2278";0;5063
"702";"732-45-7636";0;7087
"703";"402-75-7988";621228;22938
"704";"230-59-8813";0;10396
"705";"220-33-4874";0;10967
"706";"984-58-1200";0;2954
"707";"776-48-3547";685144;5864
"708";"431-62-4355";0;7687
"709";"539-28-9235";0;7415
"710";"584-41-2312";0;3951
"711";"620-50-5540";0;14852
"712";"560-88-4163";0;577
"713";"476-55-9110";328972;8247
"714";"955-46-7008";0;18029
"715";"666-49-9159";0;6859
"716";"631-33-1882";0;892
"717";"940-85-5146";0;9022
"718";"941-11-8256";0;3214
"719";"779-57-8790";0;14504
"720";"753-15-9448";371222;5625
"721";"525-96-2101";442270;10372
"722";"370-78-8742";0;7248
"723";"132-86-2691";0;7793
"724";"443-72-8471";349230;3312
"725";"184-60-9811";0;19537
"726";"475-75-2483";560815;3719
"727";"468-22-7351";723593;4789
"728";"745-43-6913";0;10902
"729";"650-72-3918";0;7305
"730";"140-20-4427";0;8215
"731";"491-51-4962";202212;4327
"732";"149-27-1791";0;18180
"733";"950-60-2669";0;2457
"734";"751-24-7610";0;14934
"735";"188-46-7177";0;12379
"736";"296-37-3596";1001009;10279
"737";"879-70-3067";340210;14636
"738";"510-86-3858";0;5287
"739";"127-36-6283";173281;901
"740";"822-26-9146";728323;12149
"741";"331-24-4337";0;15448
"742";"591-48-3654";654506;11394
"743";"647-53-9260";0;6644
"744";"380-49-1141";0;9226
"745";"891-90-1234";0;32713
"746";"737-45-9200";0;7509
"747";"324-22-4062";0;26143
"748";"887-80-4559";269429;8459
"749";"265-71-2399";604241;3107
"750";"720-44-2826";0;19125
"751";"871-11-6184";419059;4006
"752";"664-98-2058";0;11129
"753";"606-51-6795";0;8326
"754";"664-33-5976";0;11457
"755";"280-45-9791";0;3374
"756";"892-28-6075";0;3450
"757";"966-22-7853";0;13434
"758";"919-37-9190";0;15208
"759";"217-88-5852";0;22651
"760";"865-39-4192";377945;3254
"761";"280-79-1024";0;11275
"762";"361-41-1613";0;16218
"763";"576-76-2336";0;1480
"764";"509-49-3743";0;2756
"765";"662-94-7598";0;17774
"766";"322-54-1509";0;2456
"767";"930-17-2039";622612;16099
"768";"164-11-9930";0;6167
"769";"942-42-8917";732148;2394
"770";"822-50-5778";157924;19879
"771";"579-57-2311";343790;18608
"772";"330-14-8341";0;12453
"773";"723-71-2045";0;9173
"774";"123-33-6958";0;17062
"775";"741-70-2700";0;12152
"776";"579-59-2975";394760;6440
"777";"691-16-1348";0;9054
"778";"403-51-6558";342615;10383
"779";"564-45-2887";0;3400
"780";"417-13-1309";0;2133
"781";"248-28-9076";0;12770
"782";"224-28-2334";0;5347
"783";"288-78-4087";0;9668
"784";"342-41-5258";0;5265
"785";"696-21-6468";0;4907
"786";"449-35-2337";0;1773
"787";"717-55-2855";0;12971
"788";"591-13-4504";0;4552
"789";"334-43-7465";0;4445
"790";"695-44-6311";0;2728
"791";"592-35-9406";342375;15288
"792";"449-22-2864";0;2652
"793";"266-16-3907";0;9399
"794";"278-86-9383";0;19845
"795";"678-16-3750";0;17428
"796";"624-76-9254";0;17895
"797";"299-71-8208";622058;19797
"798";"533-23-6045";0;3828
"799";"359-74-5602";0;3654
"800";"178-38-9747";0;5000
"801";"750-19-5049";0;28516
"802";"529-15-2516";216112;6329
"803";"338-51-9413";0;15627
"804";"442-32-8228";452054;4956
"805";"952-85-9042";0;2496
"806";"181-36-8921";0;7330
"807";"285-27-8012";0;4797
"808";"509-58-2135";326382;4853
"809";"266-94-8949";0;8874
"810";"269-11-7766";0;4515
"811";"279-63-6844";0;4428
"812";"882-57-1717";0;675
"813";"530-62-2907";0;14152
"814";"536-40-4001";842733;6303
"815";"192-25-6398";1184563;16419
"816";"553-41-6043";0;7874
"817";"426-50-5333";0;1839
"818";"980-96-6898";443817;14136
"819";"584-81-3596";0;13367
"820";"342-47-3300";389220;6370
"821";"296-78-9254";241713;2390
"822";"135-69-3480";0;8541
"823";"281-36-5254";0;20831
"824";"637-62-4524";0;11794
"825";"708-68-7895";0;2606
"826";"626-50-8316";0;3022
"827";"924-45-9407";691725;7037
"828";"555-48-7814";0;5197
"829";"347-95-3980";0;10473
"830";"309-99-2146";0;6567
"831";"378-59-5618";0;4877
"832";"830-70-4647";346177;1998
"833";"227-30-3682";0;3743
"834";"951-15-9455";386007;21445
"835";"819-74-3051";0;2085
"836";"377-38-9090";0;9948
"837";"346-78-2064";361529;1101
"838";"416-58-6073";606808;3500
"839";"490-16-1409";232747;7188
"840";"762-10-2585";0;1787
"841";"518-66-4498";0;6059
"842";"701-76-3348";0;6986
"843";"333-41-2290";0;16001
"844";"681-24-8345";0;3175
"845";"440-26-7773";0;12351
"846";"664-40-6216";0;6672
"847";"599-33-4230";0;1666
"848";"267-30-5219";0;3573
"849";"748-37-1226";0;10438
"850";"800-48-4410";0;15628
"851";"897-51-5010";0;7390
"852";"634-56-2596";0;11464
"853";"964-64-6900";388485;5416
"854";"455-97-1235";0;11296
"855";"515-30-3247";0;4014
"856";"409-93-6041";0;7616
